"Pays","Capitale administrative","Funfact 1","Funfact 2","Funfact 3"
"Malawi","Lilongwe","Le Malawi est surnommé « le pays du ciel étoilé » en raison de ses nuits incroyablement claires et étoilées","Le lac Malawi, l'un des plus grands lacs d'Afrique, abrite plus d'espèces de poissons cichlidés que tout autre lac au monde","Lilongwe, la capitale, a été conçue pour intégrer des espaces verts et des zones rurales, ce qui lui confère un urbanisme unique mêlant nature et modernité."
"Pérou","Lima","Lima est connue comme la ""ville des rois"" car elle a été fondée un 6 janvier, jour de l'Épiphanie","Le Pérou est le berceau de la plus ancienne civilisation d'Amérique du Sud, la civilisation Caral, datant de plus de 5000 ans","Le ceviche, plat national du Pérou, est préparé avec du poisson cru mariné dans du jus de citron vert où l'acidité ""cuit"" le poisson."
"Portugal","Lisbonne","Lisbonne est construite sur sept collines, ce qui en fait une ville très vallonnée","Le Portugal a été le premier pays à abolir la peine de mort en 1867","Le tramway 28 à Lisbonne est célèbre pour son parcours pittoresque à travers les quartiers historiques."
"Slovénie","Ljubljana","Ljubljana est l'une des rares capitales européennes à être presque entièrement piétonne dans son centre historique","la Slovénie est connue pour ses grottes impressionnantes, dont la célèbre grotte de Postojna contient un train souterrain pour visiteurs","Ljubljana tire son nom d’un mot slave signifiant ""aimée"" ou ""chérie,"" ce qui en fait une capitale au nom très chaleureux."
"Togo","Lomé","Lomé est connue comme la ""ville aux sept collines"" malgré son terrain majoritairement plat","le marché de Lomé est l'un des plus grands marchés en Afrique de l'Ouest, où l'on peut trouver des objets artisanaux uniques","le Togo est l'un des rares pays au monde où l'anglais, le français et l'allemand ont été des langues officielles successives."
"Royaume-Uni","Londres","La Tour de Londres abrite encore des corbeaux, car une superstition dit que leur départ entraînerait la chute du royaume","Le métro de Londres, le plus ancien au monde, a ouvert en 1863","Le célèbre Big Ben est en réalité le nom de la grande cloche et non de la tour elle-même."
"Angola","Luanda","Luanda est l'une des villes les plus chères au monde en termes de coût de la vie","L'Angola possède la deuxième plus grande forêt tropicale d'Afrique après le bassin du Congo","Le nom ""Luanda"" vient du peuple Ambundu qui a longtemps habité la région."
"Zambie","Lusaka","La Zambie est le pays d'origine du célèbre explorateur David Livingstone","Lusaka, la capitale, est située sur un plateau à environ 1 279 mètres d'altitude","la Zambie est l'un des rares pays africains sans accès à la mer mais abrite les chutes Victoria, l'une des plus grandes et impressionnantes chutes d'eau au monde."
"Luxembourg","Luxembourg","Le pont Adolphe, symbole de Luxembourg, a été le plus long pont en voûte du monde lors de son ouverture en 1903","Luxembourg est l'un des plus petits pays de l'Union européenne mais compte l'un des PIB par habitant les plus élevés au monde","la vieille ville de Luxembourg est inscrite au patrimoine mondial de l'UNESCO, notamment pour ses fortifications impressionnantes."
"Espagne","Madrid","Madrid possède le plus grand réseau de métro d'Espagne et l’un des plus vastes du monde","la Plaza Mayor de Madrid a été utilisée autrefois pour des corridas, des marchés et même des fêtes royales","l’Espagne est le deuxième pays au monde avec le plus de sites classés au patrimoine mondial de l’UNESCO après l’Italie."
"Îles Marshall","Majuro","Les Îles Marshall comptent parmi les atolls les plus bas du monde, avec une altitude moyenne d'environ 2 mètres au-dessus du niveau de la mer","Majuro, la capitale, est construite sur un atoll reliant plusieurs îles par des routes construites sur le corail","l’archipel a servi de site pour des essais nucléaires américains dans les années 1940 et 1950, notamment sur l’atoll de Bikini."
"Maldives","Malé","Les Maldives sont le pays le plus plat du monde avec une altitude moyenne de seulement 1,5 mètre","Malé, la capitale, est l'une des villes les plus densément peuplées au monde","les Maldives abritent l'un des plus grands récifs coralliens au monde, visible depuis l'espace."
"Nicaragua","Managua","Managua est construite sur un ancien lac asséché, appelé le lac Xolotlán","le Nicaragua est le seul pays d'Amérique centrale à posséder deux côtes, sur l'Atlantique et le Pacifique","le volcan Masaya près de Managua est l’un des rares volcans actifs au monde où l’on peut observer un lac de lave."
"Bahreïn","Manama","Bahreïn abrite la plus ancienne église chrétienne connue du Golfe, datant du IVe siècle","Manama est célèbre pour ses marchés traditionnels comme le souk de Bab al-Bahrain où l'on trouve des perles naturelles","Bahreïn a été un des premiers pays du Golfe à instaurer une démocratie parlementaire avec des élections législatives dès 2002."
"Philippines","Manille","Manille est l'une des villes les plus densément peuplées au monde","Les Philippines comptent plus de 7 000 îles","Le jeepney, un moyen de transport coloré typique, est né à partir de jeep militaires abandonnées après la Seconde Guerre mondiale."
"Mozambique","Maputo","Maputo est célèbre pour son architecture coloniale portugaise bien préservée","le Mozambique est l'un des plus grands producteurs mondiaux de noix de cajou","le pays abrite le Gorongosa, un parc national réputé pour sa biodiversité exceptionnelle."
"Oman","Mascate","Le Sultanat d’Oman possède l’une des plus anciennes monarchies héréditaires au monde","Mascate est connue pour ses forts majestueux construits au XVIe siècle par les Portugais","Oman est célèbre pour ses tortues marines qui viennent pondre sur ses plages désertes chaque année."
"Lesotho","Maseru","Le Lesotho est le seul pays au monde entièrement situé à plus de 1 000 mètres d'altitude","Maseru compte un pont suspendu unique appelé le Pont de l'Amitié, construit en 1994 avec la Corée du Sud","le Lesotho est surnommé le ""royaume dans le ciel"" en raison de ses montagnes et de ses paysages élevés."
"Eswatini","Mbabane","Eswatini est l'un des derniers royaumes absolus d'Afrique où le roi détient un pouvoir significatif","Mbabane, la capitale, est située à environ 1 243 mètres d'altitude, ce qui en fait une des capitales les plus élevées d'Afrique","le pays célèbre la danse traditionnelle Umhlanga, également appelée ""la danse des roseaux"", attirant des milliers de participantes chaque année."
"Mexique","Mexico","Mexico City est construite sur les ruines de l'ancienne capitale aztèque Tenochtitlan","le Mexique possède le plus grand nombre de pyramides au monde, surpassant même l'Égypte","chaque année, la ville accueille la célèbre Fête des Morts, une célébration colorée reconnue mondialement."
"Biélorussie","Minsk","Minsk possède un métro avec des stations décorées dans un style soviétique très marqué","la Biélorussie est parfois appelée ""le poumon vert de l'Europe"" grâce à ses vastes forêts couvrant près de 40% du territoire","le château de Mir, proche de Minsk, est inscrit au patrimoine mondial de l'UNESCO et combine plusieurs styles architecturaux."
"Somalie","Mogadiscio","La Somalie possède l'une des plus longues côtes d'Afrique, s'étendant sur environ 3 025 kilomètres","Mogadiscio était autrefois un centre commercial florissant dans la Route de la Soie maritime","le drapeau somalien, conçu en 1954, symbolise l'unité des cinq régions habitées par les Somaliens."
"Monaco","Monaco","Monaco est le deuxième plus petit pays du monde après le Vatican","le Grand Prix de Monaco est l'une des courses automobiles les plus célèbres et difficiles au monde","la population de Monaco est plus dense que celle de toute autre nation."
"Liberia","Monrovia","Monrovia est nommée d'après James Monroe, le cinquième président des États-Unis, en reconnaissance de son soutien à la colonisation des Afro-Américains au Liberia","le Liberia est le seul pays africain à avoir conservé son indépendance pendant la période coloniale européenne","le drapeau libérien ressemble beaucoup à celui des États-Unis, symbolisant les liens historiques entre les deux pays."
"Uruguay","Montevideo","Montevideo possède la plus longue rambla urbaine du monde, s'étendant sur environ 22 km le long de la côte","l'Uruguay est le premier pays au monde à avoir légalisé la production, la vente et la consommation de cannabis en 2013","le tango, danse emblématique, est né dans les quartiers populaires entre Montevideo et Buenos Aires au XIXe siècle."
"Comores","Moroni","Les Comores sont l'un des rares pays au monde dont la langue officielle inclut le comorien, un mélange d'arabe, de swahili et de malgache","Moroni, la capitale, possède une ancienne mosquée appelée la Mosquée du Vendredi, qui date du 15ème siècle","l'archipel des Comores est l'un des plus importants sites de biodiversité marine dans l'océan Indien."
"Russie","Moscou","La place Rouge à Moscou ne doit pas son nom à la couleur du sol, mais au mot russe « красная » (krasnaya) qui signifie aussi « belle »","Le métro de Moscou est souvent surnommé le « Palais du Peuple » en raison de ses stations richement décorées","En Russie, le Nouvel An est célébré deux fois : le 1er janvier selon le calendrier grégorien et le 14 janvier selon le calendrier julien."
"Kenya","Nairobi","Nairobi est la seule capitale au monde à abriter un parc national où vivent des lions en liberté","Le mont Kenya, deuxième plus haute montagne d’Afrique, est un ancien volcan éteint","Le Kenya est le berceau des athlètes de fond réputés pour dominer les courses de moyenne et longue distance."
"Bahamas","Nassau","Nassau abrite la plus grande colonie de flamants roses aux Bahamas","le Blue Hole de Dean’s Cave est une formation d'eau douce mystérieuse sous-marine","les Pirates de Nassau étaient célèbres pour avoir établi une république pirate au début du XVIIIe siècle."
"Birmanie","Naypyidaw","Naypyidaw est l'une des rares capitales au monde construites entièrement ex nihilo dans les années 2000","la ville abrite une autoroute avec une bande centrale large de 20 voies qui reste souvent presque déserte","la Birmanie est le seul pays où le football est interdit dans certaines régions pendant le Nouvel An pour des raisons culturelles."
"Tchad","N'Djaména","Le Tchad est surnommé le « cœur de l’Afrique » en raison de sa position géographique centrale","N'Djaména, capitale du Tchad, est située à la confluence de deux fleuves, le Chari et le Logone","Le lac Tchad, autrefois l'un des plus grands lacs d'Afrique, a perdu environ 90 % de sa surface depuis les années 1960."
"Inde","New Delhi","New Delhi possède une station de métro entièrement féminine pour la sécurité des femmes","en Inde, le festival de Holi est célébré avec des couleurs naturelles faites à partir de fleurs et d'épices","le Taj Mahal change de couleur selon l'heure du jour, passant du rose au blanc éclatant."
"Niger","Niamey","Le Niger est l'un des plus grands pays sans accès à la mer","Niamey est traversée par le fleuve Niger, qui est une source vitale d'eau dans cette région désertique","Le Festival W Festival de Niamey célèbre chaque année la culture touareg avec de la musique, des courses de chameaux et des expositions artisanales."
"Chypre","Nicosie","Nicosie est la dernière capitale divisée d'Europe, séparée en deux par une ligne verte contrôlée par l'ONU","Chypre est le troisième plus grand producteur de cuivre au monde, son nom dérivant du mot latin ""cuprum"" signifiant cuivre","la ville de Paphos à Chypre est célèbre pour être le lieu mythologique de naissance d'Aphrodite, déesse de l'amour."
"Mauritanie","Nouakchott","Nouakchott était un petit village de pêcheurs avant d'être choisie comme capitale en 1957","une grande partie de la population mauritanienne pratique la transhumance, déplaçant leurs troupeaux selon les saisons","le désert du Sahara couvre environ 90% du territoire mauritanien."
"Tonga","Nukuʻalofa","Tonga est le seul royaume insulaire du Pacifique à ne jamais avoir été colonisé par une puissance européenne","Nukuʻalofa abrite un palais royal dont le drapeau est hissé uniquement lorsque le roi est présent","dans les eaux autour de Tonga, il est possible de nager avec des baleines à bosse pendant leur saison de migration."
"Norvège","Oslo","Oslo est la seule capitale au monde située au fond d’un fjord","la Norvège a un musée consacré exclusivement aux penguins en chair et en os","à Oslo, un tremblement de terre modéré est une rareté quasi inconnue."
"Canada","Ottawa","Le Canada est le deuxième plus grand pays du monde en superficie","Ottawa possède le plus long marché couvert en Amérique du Nord, le ByWard Market","chaque année, la Colline du Parlement à Ottawa accueille la cérémonie officielle du Canada Day avec un spectacle de feux d'artifice impressionnant."
"Burkina Faso","Ouagadougou","Ouagadougou est surnommée ""Ouaga"" par les locaux","le Burkina Faso signifie ""pays des hommes intègres"" en langues locales","la ville accueille chaque deux ans le FESPACO, le plus grand festival de cinéma africain."
"Mongolie","Oulan-Bator","Oulan-Bator est la capitale la plus froide du monde parmi les capitales nationales","la Mongolie compte plus de chevaux que d'habitants","durant l'hiver, les habitants utilisent des poêles à charbon traditionnels appelés ""gerst"" pour se chauffer dans les yourtes."
"États fédérés de Micronésie","Palikir","La capitale Palikir est située sur l'île de Pohnpei, qui est recouverte de forêts tropicales denses","Les États fédérés de Micronésie comptent plus de 600 îles réparties sur une vaste zone océanique d'environ 2 millions de km²","Pohnpei abrite les ruines mystérieuses de Nan Madol, une ancienne cité construite sur des îlots artificiels."
"Panama","Panama","Le Canal de Panama réduit de 8 000 km le trajet maritime entre l’Atlantique et le Pacifique","Panama City est l’une des seules capitales au monde à avoir une forêt tropicale en pleine ville, le Parc National naturel","le drapeau panaméen a été créé pour représenter l’équilibre politique entre les conservateurs et les libéraux."
"Suriname","Paramaribo","Paramaribo possède un centre historique inscrit au patrimoine mondial de l’UNESCO, avec des bâtiments coloniaux en bois bien préservés","le Suriname est le pays d’Amérique du Sud avec la plus grande diversité linguistique, où près de 15 langues sont parlées","le fleuve Suriname, qui traverse la capitale, est si large qu’il ressemble parfois à une mer intérieure."
"France","Paris","La Tour Eiffel peut atteindre jusqu'à 15 cm de hauteur en été à cause de la dilatation thermique","Paris compte plus de 400 parcs et jardins","La baguette, emblème du pain français, doit respecter un décret de 1993 pour être considérée ""traditionnelle."""
"Bolivie","La Paz, Sucre","La Paz est la capitale la plus haute du monde, perchée à environ 3 650 mètres d'altitude","en Bolivie, on trouve le Salar de Uyuni, le plus grand désert de sel au monde","Sucre est la capitale constitutionnelle de la Bolivie et possède une architecture coloniale parfaitement préservée, classée au patrimoine mondial de l’UNESCO."
"Chine","Pékin","Pékin possède plus de vélos que de voitures dans certaines zones de la ville","la Grande Muraille de Chine n'est pas visible depuis l'espace à l'œil nu contrairement à une croyance populaire","la Cité Interdite à Pékin est le plus grand palais impérial encore existant au monde."
"Cambodge","Phnom Penh","Phnom Penh était autrefois surnommée ""la perle de l'Asie du Sud-Est"" pour sa beauté et son architecture coloniale","le Cambodge abrite le plus grand monument religieux du monde, Angkor Wat","le Mékong qui traverse Phnom Penh renferme une espèce de poisson-chat géant pouvant atteindre 3 mètres de long."
"Papouasie-Nouvelle-Guinée","Port Moresby","La Papouasie-Nouvelle-Guinée compte plus de 800 langues, ce qui en fait l'un des pays les plus linguistiquement diversifiés au monde","Port Moresby est l'une des capitales les plus isolées et moins développées, entourée par une nature sauvage dense","la région est célèbre pour ses récits mythologiques et ses danses tribales uniques, qui jouent un rôle central dans la culture locale."
"Haïti","Port-au-Prince","Haïti est la première république noire indépendante et la deuxième république des Amériques après les États-Unis","Port-au-Prince est surnommée ""La Ville aux mille collines"" en raison de sa topographie vallonnée","le vaudou, religion d'origine africaine, est encore largement pratiqué en Haïti et reconnu officiellement."
"Trinité-et-Tobago","Port-d'Espagne","Trinité-et-Tobago abrite l'une des plus grandes populations de colibris au monde","Port-d'Espagne organise chaque année le célèbre Carnaval de Trinité, l'un des plus grands et colorés des Caraïbes","l'île de Tobago possède une forêt tropicale protégée, classée au patrimoine mondial de l'UNESCO, appelée le parc national de la forêt tropicale de Tobago."
"Maurice","Port-Louis","Port-Louis abrite le plus ancien marché colonial encore en activité dans l'océan Indien, le marché central","l'île Maurice compte plus de 150 espèces différentes de palmiers, ce qui en fait un véritable paradis pour les botanistes","le dodo, emblème de Maurice, était un oiseau incapable de voler disparu au XVIIe siècle, et il reste un symbole culturel majeur de l'île."
"Vanuatu","Port-Vila","Vanuatu est l’un des rares endroits au monde où l’on trouve encore d’anciens volcans actifs accessibles aux visiteurs","Port-Vila, la capitale, est connue pour son incroyable diversité linguistique avec plus de 100 langues parlées à travers l’archipel","le pays est réputé pour sa tradition unique du ""Naghol"" ou saut de liane, considéré comme une forme ancestrale du saut à l’élastique."
"République tchèque","Prague","Prague possède une horloge astronomique datant de 1410, l'une des plus anciennes encore en fonctionnement","Le pont Charles est décoré de 30 statues baroques, mais à l'origine il n'y en avait aucune","La République tchèque est l'un des plus grands consommateurs de bière par habitant au monde."
"Cap-Vert","Praia","Praia est construite sur une colline appelée ""Plateau"", qui offre une vue panoramique sur l'océan Atlantique","Le Cap-Vert est l'un des rares endroits au monde où l'on peut entendre la morna, une musique traditionnelle classée au patrimoine culturel immatériel de l'UNESCO","L'île de Santiago, où se trouve Praia, est la plus peuplée de l'archipel malgré son origine volcanique relativement récente."
"Corée du Nord","Pyongyang","Pyongyang est l'une des rares villes au monde où les feux de circulation sont rares car la ville est conçue pour que les piétons et les véhicules évitent presque toujours la congestion","la Corée du Nord utilise un calendrier unique appelé Juche, qui commence en 1912, année de naissance de Kim Il-sung","dans Pyongyang, il est interdit de porter des jeans déchirés car ils sont considérés comme un symbole de culture occidentale subversive."
"Équateur","Quito","Quito est la capitale la plus haute du monde, située à environ 2 850 mètres d'altitude","L'Équateur tire son nom de la ligne équatoriale qui traverse le pays, où l'on peut se tenir simultanément dans les hémisphères nord et sud","Le volcan Cotopaxi, l'un des volcans actifs les plus hauts au monde, culmine à 5 897 mètres en Équateur."
"Maroc","Rabat","Rabat est l’une des rares capitales au monde à posséder une plage urbaine directement accessible depuis son centre-ville","Le Maroc est le premier exportateur mondial de phosphates, une ressource clé pour l’agriculture","La Kasbah des Oudayas à Rabat abrite un jardin andalou magnifique, construit au XIIe siècle, combinant influences marocaines et andalouses."
"Islande","Reykjavik","Reykjavik est la capitale la plus septentrionale du monde","En Islande, il est courant d’avoir des bains géothermiques naturels grâce à l’activité volcanique intense","Le Parlement islandais, l’Althing, fondé en 930, est l’un des plus anciens parlements démocratiques encore en activité."
"Lettonie","Riga","Riga possède la plus grande vieille ville médiévale d’Europe du Nord","la Lettonie est l’un des pays les plus boisés d’Europe, avec environ 54% de son territoire couvert de forêts","Riga abrite un bâtiment Art nouveau parmi les plus impressionnants du monde, reflétant son riche patrimoine architectural."
"Arabie saoudite","Riyad","Riyad est l'une des villes les plus chaudes au monde avec des températures pouvant dépasser 50°C en été","L'Arabie saoudite possède le plus grand terminal aéroportuaire du monde à l'aéroport international King Abdulaziz à Djeddah","Riyad abrite le gratte-ciel Kingdom Centre, célèbre pour son design unique avec une ouverture en forme de goutte d'eau au sommet."
"Italie","Rome","Le Colisée pouvait accueillir jusqu'à 50 000 spectateurs lors des combats de gladiateurs","Rome possède une fontaine appelée la Bocca della Verità qui, selon la légende, mord la main des menteurs","l'Italie compte plus de 450 sortes de pâtes différentes, chacune typique d'une région spécifique."
"Dominique","Roseau","Dominique est surnommée « l’Île Nature » en raison de sa biodiversité exceptionnelle","Roseau a été fondée par des colons français en 1635","l’île possède l’un des rares endroits au monde où l’on peut encore entendre le chant du Siffleur des bois dominicain."
"Antigua-et-Barbuda","Saint John's","Antigua-et-Barbuda possède 365 plages, une pour chaque jour de l'année","Saint John's abrite une des plus anciennes cathédrales anglicanes des Caraïbes, construite au XVIIe siècle","l'île d'Antigua a été nommée par Christophe Colomb en l'honneur d'une église à Séville appelée ""Santa María la Antigua""."
"République dominicaine","Saint-Domingue","Saint-Domingue est la première ville européenne permanente des Amériques, fondée en 1498","la République dominicaine abrite la plus haute montagne des Caraïbes, le Pico Duarte","la Plaza de la Cultura à Saint-Domingue possède l'un des plus grands musées d'art moderne des Caraïbes."
"Grenade","Saint-Georges","La capitale Saint-Georges est célèbre pour son marché coloré et animé, véritable cœur culturel de l'île","Grenade est connue comme ""l'île aux épices"" grâce à sa production importante de muscade et de cannelle","l'île possède une épave de bateau historique, le Bianca C, qui est devenue un site de plongée sous-marine très prisé."
"Saint-Marin","Saint-Marin","Saint-Marin est la plus ancienne république du monde encore existante, fondée en 301 ap. J.-C.","sa capitale, également appelée Saint-Marin, est construite sur le mont Titano, un site classé au patrimoine mondial de l'UNESCO","malgré sa petite taille, Saint-Marin possède sa propre équipe nationale de football et participe aux compétitions internationales."
"Costa Rica","San José","Le Costa Rica abrite environ 5% de la biodiversité mondiale malgré sa petite taille","San José est connue pour ses marchés colorés comme Mercado Central où l’on peut déguster des spécialités locales","le Costa Rica a aboli son armée en 1948, investissant ainsi davantage dans l’éducation et la conservation."
"Salvador","San Salvador","San Salvador est située dans une zone sismique active, ce qui lui vaut plusieurs tremblements de terre historiques","la capitale abrite le plus grand parc urbain d’Amérique centrale, le Parque Cuscatlán","Salvador est célèbre pour sa tradition de la ""pupusa,"" un plat national fait de tortillas farcies."
"Chili","Santiago, Valparaíso","Santiago est construite sur un ancien lit de rivière asséché appelé le Mapocho","Valparaíso possède plus de 40 collines, ce qui lui donne un paysage urbain unique et escarpé","Le Chili est le plus long pays du monde du nord au sud, s'étendant sur plus de 4 300 km."
"Sao Tomé-et-Principe","São Tomé","São Tomé-et-Principe est le deuxième plus petit pays d'Afrique en superficie","São Tomé, la capitale, est située sur une île volcanique avec des plages de sable noir","Le pays est l'un des plus grands producteurs mondiaux de cacao biologique."
"Bosnie-Herzégovine","Sarajevo","Sarajevo est la seule capitale européenne où les bâtiments religieux des trois grandes religions monothéistes (islam, christianisme orthodoxe et catholicisme) se trouvent côte à côte","La Bosnie-Herzégovine abrite le vieux pont de Mostar, inscrit au patrimoine mondial de l’UNESCO et célèbre pour son architecture ottomane unique","Sarajevo a accueilli les Jeux Olympiques d’hiver en 1984, une des rares capitales à avoir organisé cet événement."
"Corée du Sud","Sejong, Séoul","À Séoul, il existe un centre commercial souterrain si grand qu'il s'étend sous plusieurs quartiers et relie plusieurs stations de métro","Sejong est une ville nouvelle créée spécialement pour décentraliser le gouvernement sud-coréen hors de Séoul","la Corée du Sud possède l’un des réseaux Internet les plus rapides et les plus accessibles au monde."
"Singapour","Singapour","À Singapour, il est interdit de mâcher du chewing-gum sauf pour des raisons médicales","la ville dispose d’un jardin vertical appelé Gardens by the Bay avec des “supertrees” illuminés la nuit","Singapour est l’un des rares pays où l’on peut trouver un hibou vivant en pleine ville, notamment dans la réserve naturelle de Bukit Timah."
"Macédoine du Nord","Skopje","Skopje possède une statue monumentale de 22 mètres de haut nommée ""Alexandre le Grand"" au centre de la ville","La ville de Skopje a été entièrement reconstruite après un tremblement de terre dévastateur en 1963","La Macédoine du Nord abrite le lac d’Ohrid, l’un des lacs les plus anciens et les plus profonds d’Europe, classé au patrimoine mondial de l’UNESCO."
"Bulgarie","Sofia","La Bulgarie est le berceau de l'alphabet cyrillique, encore utilisé aujourd'hui dans plusieurs pays","Sofia abrite une source minérale naturelle qui coule directement dans les fontaines publiques de la ville","la rose de Bulgarie est célèbre mondialement pour son huile essentielle, utilisée en parfumerie depuis des siècles."
"Suède","Stockholm","Stockholm est construite sur 14 îles reliées par plus de 50 ponts","la Suède est le berceau du phénomène mondial du “fika”, une pause café sociale","le musée Vasa de Stockholm abrite un navire de guerre du XVIIe siècle parfaitement préservé qui a coulé lors de son voyage inaugural."
"Fidji","Suva","Suva est l'une des rares capitales du Pacifique située sur une île principale à l'est, l'île de Viti Levu","Fidji compte plus de 300 îles, mais seulement environ un tiers sont habitées","le kava, une boisson traditionnelle à base de racines de poivrier, est très populaire et utilisée dans les cérémonies sociales et spirituelles à Fidji."
"Ouzbékistan","Tachkent","Tachkent est l'une des rares capitales d'Asie centrale à être construite sur un réseau de métro avec des stations décorées de mosaïques et de sculptures soviétiques","L'Ouzbékistan abrite le plus grand bazar couvert d'Asie centrale, le Bazar de Tchorsou à Tachkent","L'alphabet ouzbek est passé du cyrillique au latin dans les années 1990, mais certains documents officiels utilisent encore le cyrillique."
"Estonie","Tallinn","Tallinn possède l'une des vieilles villes médiévales les mieux préservées d'Europe","l'Estonie est l'un des pays les plus avancés numériquement, avec des élections en ligne depuis 2005","Tallinn a un tunnel secret datant du XIVe siècle utilisé autrefois pour la défense de la ville."
"Kiribati","Tarawa-Sud","Kiribati est le seul pays au monde à traverser l'équateur et la ligne de changement de date","Tarawa-Sud a été le théâtre de la célèbre bataille de la Seconde Guerre mondiale entre les forces américaines et japonaises","Kiribati a déplacé sa ligne de changement de date en 1995 pour unifier ses îles sur le même jour."
"Géorgie","Tbilissi","Tbilissi signifie ""lieu chaud"" en géorgien en référence aux sources chaudes naturelles de la ville","la Géorgie utilise l'alphabet géorgien, unique et distinct, appelé Mkhedruli","la ville abrite le pont de la Paix, une passerelle en verre et acier illuminée la nuit, symbole moderne de la capitale."
"Iran","Téhéran","Téhéran est située au pied du mont Alborz, ce qui permet aux habitants de faire du ski en hiver à seulement quelques kilomètres de la ville","L'Iran est le pays d'origine du jeu d'échecs moderne, qui serait né il y a plus de 1 400 ans","Le bazar de Téhéran, grand de plusieurs kilomètres carrés, est l'un des marchés couverts les plus anciens et les plus vastes du monde."
"Bhoutan","Thimphou","Le Bhoutan mesure le bonheur national brut plutôt que le produit intérieur brut","Thimphou est l'une des rares capitales au monde sans feu de signalisation","le port du costume traditionnel est obligatoire dans les lieux publics du Bhoutan."
"Albanie","Tirana","Tirana était autrefois connue pour sa célèbre ""Pyramid of Tirana"", une structure unique construite comme musée pour le dictateur Enver Hoxha","L’Albanie est l’un des rares pays européens où l’alphabet latin a été adopté tardivement, n’arrivant qu'au XXe siècle","Le drapeau albanais représente un aigle bicéphale, symbolisant l’indépendance et la souveraineté, un symbole qui remonte à l’Empire byzantin."
"Japon","Tokyo","À Tokyo, les distributeurs automatiques vendent parfois des parapluies et des cravates","le Japon compte plus de 1500 tremblements de terre chaque année, mais la construction est très résistante","le métro de Tokyo est si propre que beaucoup de gens mangent et boivent dedans sans problème."
"Libye","Tripoli","Tripoli abrite l'une des plus anciennes médinas du monde arabe, datant du 7ème siècle","la Libye possède l'un des plus grands déserts du monde, le Sahara, couvrant environ 90% de son territoire","la ville de Leptis Magna, près de Tripoli, est un site archéologique romain parfaitement conservé, souvent appelé la ""Pompeï de l'Afrique du Nord""."
"Tunisie","Tunis","La médina de Tunis est classée au patrimoine mondial de l’UNESCO depuis 1979","Le site archéologique de Carthage, près de Tunis, rappelle l’ancienne puissance de l’Empire carthaginois","La Tunisie est le premier producteur mondial d’huile d’olive biologique."
"Liechtenstein","Vaduz","Le Liechtenstein est l’un des deux seuls pays entièrement alpins à ne pas avoir de voie ferrée","Vaduz abrite un château médiéval perché sur une colline qui est encore la résidence officielle du prince","le Liechtenstein a une tradition unique où chaque citoyen peut proposer des lois via une initiative populaire."
"Malte","La Valette","La Valette est l'une des plus petites capitales d'Europe, couvrant moins d'un kilomètre carré","Malte possède un des plus vieux temples mégalithiques au monde, datant de 3600 av. J.-C.","Les falaises de Dingli à Malte sont parmi les plus hautes d'Europe, culminant à environ 250 mètres au-dessus de la mer."
"Pologne","Varsovie","La vieille ville de Varsovie a été entièrement reconstruite après sa destruction pendant la Seconde Guerre mondiale","la Pologne est le pays d’origine du célèbre compositeur Frédéric Chopin","Varsovie possède l’un des plus grands centres commerciaux d’Europe, la galerie Złote Tarasy."
"Vatican","Vatican","Le Vatican est le plus petit État indépendant du monde, avec une superficie d'environ 44 hectares","il possède sa propre station de radio, Radio Vatican, fondée en 1931","la garde suisse pontificale, chargée de la sécurité du pape, porte encore une tenue inspirée de la Renaissance."
"Seychelles","Victoria","Victoria abrite le plus petit musée national au monde, le Musée du Gouvernement","les Seychelles sont le seul pays africain où les tortues géantes vivent à l'état sauvage","la capitale Victoria possède un marché coloré où l'on trouve des fruits tropicaux rares comme le corossol."
"Autriche","Vienne","Vienne abrite la plus ancienne roue géante du monde, la Wiener Riesenrad, construite en 1897","l'Autriche est le pays natal de la célèbre pâtisserie Sacher-Torte, inventée en 1832 à Vienne","Mozart a composé plus de 600 œuvres, dont beaucoup ont été créées lors de son séjour à Vienne."
"Laos","Vientiane","Le Patuxai à Vientiane ressemble à l'Arc de Triomphe mais est décoré avec des motifs laotiens traditionnels","le Laos est le pays le plus densément couvert de forêt en Asie du Sud-Est avec environ 70% de son territoire boisé","la rivière Mékong, qui borde Vientiane, est célèbre pour ses dauphins d'eau douce rares appelés dauphins de l’Irrawaddy."
"Lituanie","Vilnius","Vilnius possède l’une des plus grandes vieilles villes médiévales d’Europe, inscrite au patrimoine mondial de l’UNESCO","la Lituanie est le premier pays à avoir déclaré son indépendance de l’Union soviétique en 1990","le colline des Croix près de Šiauliai est un site de pèlerinage unique où des milliers de croix ont été plantées par les visiteurs."
"États-Unis","Washington","La Maison Blanche a ses propres code vestimentaire et secret","Washington D.C. n’est pas une ville ni un État mais un district fédéral","Le Capitole des États-Unis possède une statue dorée appelée la Statue de la Liberté au sommet de son dôme."
"Nouvelle-Zélande","Wellington","Wellington est souvent surnommée ""Windy Welly"" en raison de ses vents fréquents et puissants","la Nouvelle-Zélande a été le premier pays au monde à accorder le droit de vote aux femmes en 1893","le film ""Le Seigneur des Anneaux"" a boosté le tourisme local grâce à ses paysages tournés principalement dans l’île du Nord et autour de Wellington."
